track_id,duration_s,rms_mean,rms_std,zcr_mean,zcr_std,centroid_mean,centroid_std,bandwidth_mean,bandwidth_std,rolloff_mean,rolloff_std,flatness_mean,flatness_std,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,chroma1_mean,chroma1_std,chroma2_mean,chroma2_std,chroma3_mean,chroma3_std,chroma4_mean,chroma4_std,chroma5_mean,chroma5_std,chroma6_mean,chroma6_std,chroma7_mean,chroma7_std,chroma8_mean,chroma8_std,chroma9_mean,chroma9_std,chroma10_mean,chroma10_std,chroma11_mean,chroma11_std,chroma12_mean,chroma12_std
000197,29.9770,0.0458,0.0373,0.0726,0.0376,1119.1508,427.9404,1251.9728,296.9670,2188.6590,943.5641,0.0024,0.0065,-278.8755,98.8283,107.9886,27.4603,-9.4115,22.1861,17.8503,17.2631,-6.1667,14.2587,-6.8379,10.8090,-8.6824,12.5123,-9.1434,9.3750,-9.8932,6.8721,-7.4875,7.5841,-8.6575,7.9478,-5.3257,8.2538,-10.6445,9.7120,0.4615,0.4027,0.2379,0.1833,0.3751,0.3977,0.1905,0.1578,0.3406,0.3383,0.3211,0.3464,0.1323,0.1427,0.1202,0.2047,0.1050,0.1116,0.2609,0.3076,0.1138,0.0933,0.2961,0.2844
000200,29.9770,0.1213,0.0656,0.1256,0.0669,1818.5694,583.7407,1741.3585,237.4043,3687.2082,879.5120,0.0220,0.0421,-97.1314,53.0057,72.5885,22.5650,-12.4838,17.0164,29.9849,16.5826,-10.8696,8.7517,-3.9141,9.5505,-11.0415,8.6596,-6.4858,8.2721,-10.9455,7.0068,-14.8813,9.3313,-10.9222,9.0725,-6.8464,5.8825,-13.8378,6.4298,0.3483,0.2601,0.3193,0.2315,0.4223,0.3304,0.2863,0.1830,0.4725,0.3964,0.2712,0.2385,0.2637,0.2748,0.3706,0.2860,0.2332,0.2202,0.3090,0.2918,0.2400,0.2264,0.3849,0.3035
000203,29.9770,0.0883,0.0382,0.0706,0.0197,1280.2095,442.7205,1507.0869,357.7547,2399.9466,1210.3354,0.0047,0.0106,-241.8927,76.8216,103.8936,26.7543,6.7127,13.6826,1.7870,13.4400,-22.5108,8.9820,-21.6217,11.6885,-18.8301,9.6261,-22.1836,9.3034,-17.4288,9.8527,-17.2893,10.5916,-16.1225,10.1918,-0.5973,12.0091,2.4238,13.4529,0.1499,0.2274,0.2588,0.3355,0.1779,0.2814,0.1560,0.2539,0.2046,0.3300,0.1010,0.1192,0.2177,0.3568,0.0500,0.0856,0.0998,0.1163,0.4211,0.4396,0.1466,0.1530,0.2198,0.3402
000204,29.9770,0.1173,0.0414,0.1035,0.0796,1625.8829,817.1601,1653.9674,389.2749,3107.8075,1415.7645,0.0176,0.0386,-137.8240,68.7052,97.5447,34.7512,-10.1926,20.8244,16.4900,17.6978,5.8032,13.1209,-8.6518,10.0395,-13.5114,9.2175,-13.9899,9.0470,-9.0986,9.0430,-11.6275,8.5263,-5.5919,7.5151,-12.7664,8.8773,-5.4062,6.7447,0.1304,0.1602,0.2689,0.2832,0.3527,0.3397,0.1555,0.1854,0.1520,0.2382,0.1904,0.2083,0.4931,0.3774,0.3392,0.3121,0.2194,0.2384,0.3419,0.3592,0.1769,0.1919,0.2457,0.3418
000207,29.9770,0.0484,0.0500,0.0825,0.0434,1175.4870,501.9297,1296.2611,400.0637,2130.8114,1195.0502,0.0037,0.0106,-352.7578,120.7850,88.4340,41.0614,2.2531,22.7789,6.4615,20.7726,-10.6269,13.0052,-10.1304,11.7306,-8.3574,10.7051,-7.1508,10.0878,-5.0634,9.8006,-1.4553,10.4086,-4.6754,12.5753,-4.1655,10.6200,-7.1363,11.5817,0.2455,0.2953,0.1573,0.2604,0.1994,0.3194,0.1193,0.1580,0.2411,0.3501,0.1910,0.2922,0.1363,0.1869,0.2097,0.3440,0.1072,0.1550,0.1496,0.2703,0.1453,0.1746,0.3920,0.4241
000210,30.0000,0.1471,0.0813,0.1117,0.0318,1713.1152,347.6903,1729.6388,203.2824,3379.2727,743.1022,0.0146,0.0214,-81.6082,43.0630,82.1403,19.3863,-22.2288,12.2254,13.9353,12.0685,-4.9177,8.9642,-8.8407,10.8913,-7.0680,8.9731,-11.8162,7.8146,-12.3794,8.6145,-12.6194,8.0820,-5.7163,7.4199,-10.8853,7.6040,-15.2307,7.0231,0.2081,0.1754,0.5143,0.3560,0.4442,0.3293,0.2122,0.1965,0.3358,0.3228,0.2257,0.2116,0.4162,0.3597,0.2685,0.2779,0.2631,0.2204,0.3958,0.3170,0.1754,0.1435,0.2200,0.2641
000211,29.9770,0.1387,0.0618,0.1045,0.0263,1521.6515,345.8161,1547.9907,240.8922,3002.7765,713.8997,0.0098,0.0155,-103.1131,57.0962,95.3927,17.9226,-24.0021,15.8151,15.2527,14.0290,-14.8625,11.1308,-9.7289,8.5970,-15.1975,8.8115,-18.2473,9.9631,-16.9028,9.4376,-13.6005,7.1754,-10.2968,6.9302,-9.3526,9.2625,-11.2201,7.9376,0.2195,0.2484,0.2845,0.2513,0.5352,0.3659,0.2043,0.1721,0.2399,0.2979,0.2763,0.2648,0.4964,0.3399,0.3163,0.2983,0.1926,0.2032,0.2545,0.2542,0.1365,0.1106,0.3088,0.3264
000212,29.9770,0.1112,0.0410,0.1264,0.0603,1986.6206,634.2265,2101.8463,412.4540,4491.2870,1483.5437,0.0350,0.0415,-90.7638,48.7919,87.9990,23.1213,14.2989,19.2634,13.9050,15.0251,11.6149,15.0893,-1.6336,9.0428,1.9457,9.0055,-5.8026,8.8449,-5.5516,8.5382,-0.7660,6.8844,-1.8707,6.6513,-0.6360,8.4848,-2.4396,6.4869,0.2456,0.2397,0.3055,0.2412,0.5346,0.3478,0.2257,0.1748,0.2640,0.2921,0.2971,0.2591,0.4997,0.3246,0.3847,0.3130,0.2539,0.2211,0.3108,0.2885,0.1937,0.1469,0.3567,0.3118
000213,29.9770,0.0686,0.0374,0.0717,0.0290,1035.1172,488.5679,1231.1651,484.0309,1973.4442,1192.5513,0.0031,0.0087,-242.1516,72.2630,142.3412,35.4905,-1.9704,23.4841,20.4090,13.8745,4.7321,9.8461,-14.2354,8.2558,-3.4713,8.7834,-7.2595,10.0772,-12.3272,6.9950,-10.2349,9.2365,-6.8355,6.7693,-3.7166,6.9050,-16.6417,7.7596,0.0971,0.1020,0.1641,0.1618,0.3071,0.2699,0.0774,0.0784,0.0647,0.1028,0.2136,0.1337,0.6854,0.3456,0.1645,0.1135,0.2573,0.2413,0.6386,0.3138,0.2200,0.1429,0.2971,0.3849
000255,29.9770,0.1440,0.0421,0.0808,0.0236,1192.2833,360.8557,1357.1769,338.4545,2237.1932,952.2712,0.0088,0.0115,-103.5525,68.9557,137.1277,33.2199,-14.7601,22.1676,9.0570,12.2877,-2.4999,8.1248,4.5899,7.6291,-8.9430,7.0888,-2.2707,8.1737,-6.8250,7.0883,0.3862,6.6644,-6.4608,7.0728,-2.6104,7.2701,-4.4488,6.1894,0.3664,0.2698,0.5392,0.3249,0.3326,0.2311,0.3446,0.2833,0.2649,0.2115,0.3461,0.2803,0.2760,0.2293,0.3179,0.2170,0.6831,0.3440,0.4473,0.2211,0.3697,0.3108,0.2370,0.2251
000256,29.9770,0.2874,0.0320,0.1508,0.0280,1996.6158,226.0488,1813.1270,156.2193,3906.2083,526.9081,0.0697,0.0331,55.6857,17.3086,74.7129,11.0916,-20.4154,10.6079,31.5013,9.1739,-1.2531,6.9364,1.8968,7.1897,2.7695,7.1537,6.9387,4.8890,-0.0128,6.1713,1.6563,6.1029,2.2991,5.0450,3.5015,4.6963,-0.4470,4.6302,0.4703,0.2324,0.5501,0.2338,0.6124,0.2525,0.5639,0.2365,0.5025,0.2331,0.4484,0.2269,0.4960,0.2148,0.5449,0.2495,0.5146,0.2211,0.6080,0.2574,0.6437,0.2597,0.4855,0.2245
000368,29.9770,0.0760,0.0232,0.0564,0.0745,1278.4135,739.3565,1849.3354,433.4524,2655.6830,1920.7608,0.0072,0.0153,-235.5857,54.4689,109.6208,40.0970,45.1275,33.0700,13.6970,15.2207,27.5562,10.0133,6.8792,9.6744,6.3157,7.6452,7.0834,7.3527,-1.3276,7.4428,5.8643,6.4789,6.0113,6.2096,1.3065,6.5988,0.5590,6.7558,0.1924,0.2278,0.1785,0.1840,0.3171,0.2646,0.5811,0.2611,0.8385,0.3207,0.4878,0.2464,0.2435,0.2144,0.2042,0.2375,0.2047,0.2061,0.1761,0.1954,0.1634,0.1523,0.2513,0.2197
000424,29.9770,0.1340,0.0549,0.1612,0.0240,1810.8629,138.1155,1528.4972,122.9968,3330.4596,293.4446,0.0184,0.0090,-68.3476,44.7730,84.1008,9.1352,-33.3386,16.0398,32.5454,16.2281,-22.4153,8.3106,-7.7707,8.5418,-17.4934,13.9953,-13.6161,10.3800,-14.6297,11.2671,1.6081,10.0413,-6.6633,6.0152,-10.3114,6.1679,-0.8830,7.8632,0.2103,0.1176,0.1743,0.1625,0.1843,0.0958,0.6853,0.3044,0.7127,0.2646,0.2916,0.1733,0.2600,0.1938,0.1948,0.1224,0.4342,0.2900,0.3005,0.2353,0.2677,0.1746,0.5509,0.3474
000459,30.0000,0.3687,0.0431,0.0798,0.0247,1720.1455,417.3980,1965.3279,290.9552,3870.6107,1104.7154,0.0267,0.0249,26.6861,23.5980,90.2829,19.5391,3.7245,12.1603,24.2268,8.2777,14.0610,6.7078,5.8513,6.5041,7.0009,6.9116,5.9184,6.6190,3.5401,4.7356,-0.2859,5.0452,0.9457,4.0534,1.8476,4.1703,0.3238,4.6737,0.2356,0.1142,0.4506,0.1751,0.8827,0.2016,0.3993,0.1597,0.2720,0.1650,0.3357,0.2307,0.4757,0.2514,0.4384,0.2941,0.2696,0.1640,0.3786,0.2461,0.2463,0.1149,0.4467,0.3098
000534,29.9770,0.0883,0.0518,0.0543,0.0357,942.9210,386.7835,1382.8613,238.6710,1707.8108,1092.9413,0.0041,0.0144,-234.0703,51.2475,135.1822,22.5760,46.3561,20.8751,37.4426,12.6784,-18.5076,9.9779,19.3223,10.7478,-8.8782,8.8645,-11.4991,10.2680,0.7760,8.3937,-4.7320,6.8339,-6.5162,9.3157,-5.4130,7.0903,4.5627,6.1466,0.1850,0.2336,0.1151,0.1476,0.2043,0.1934,0.4709,0.3785,0.2279,0.2317,0.1803,0.2546,0.1494,0.1954,0.2556,0.2919,0.3696,0.3571,0.3611,0.2708,0.5084,0.3907,0.2651,0.2416
000540,29.9770,0.0941,0.0368,0.0811,0.0444,1324.3048,420.5595,1512.0410,229.6541,2901.7559,871.0589,0.0075,0.0113,-175.7265,62.3604,112.6357,24.0575,11.8080,23.9905,45.8019,14.5011,-19.4564,9.7366,14.6458,13.1018,-1.8327,9.9848,-19.6377,9.6930,-4.7289,9.8912,4.1139,10.7896,-5.1155,9.0487,-8.0416,7.6814,-4.5017,7.6331,0.1835,0.2256,0.1788,0.2451,0.1464,0.1604,0.3057,0.3184,0.1635,0.1825,0.1967,0.2925,0.1634,0.2014,0.3421,0.2405,0.7757,0.3225,0.3502,0.2341,0.1219,0.1782,0.1178,0.1818
000546,29.9770,0.0862,0.0373,0.0755,0.0443,1219.5337,444.6227,1443.7171,261.1601,2556.6135,1046.9432,0.0084,0.0212,-192.0797,67.0537,124.9643,28.2953,14.4092,19.7548,40.9568,15.4004,-27.1721,13.8620,18.0088,12.9401,4.3120,10.8689,-16.1036,8.0471,-4.1546,8.6655,-2.3736,8.1626,2.9667,8.2973,-12.9931,7.7249,-1.4153,7.7739,0.1813,0.2216,0.2000,0.2021,0.3650,0.3933,0.2669,0.2880,0.2254,0.2321,0.3448,0.3212,0.4858,0.3642,0.4043,0.3408,0.3084,0.3338,0.2125,0.2513,0.1863,0.2393,0.1958,0.2614
000574,29.9770,0.2748,0.0347,0.1789,0.0367,2255.5209,365.7706,2046.0351,237.2659,4630.8781,958.3324,0.0881,0.0429,53.2475,19.3527,67.3808,16.4027,-9.5661,11.1440,18.6790,11.6183,2.6945,7.3478,-11.7095,7.5493,-3.1844,7.8604,-3.4520,7.0640,-1.2063,6.5465,1.1543,7.0687,-3.3676,5.9682,-5.1730,5.2931,-1.0437,5.6759,0.3448,0.2135,0.4024,0.2912,0.3852,0.2183,0.5412,0.2939,0.4679,0.2888,0.3874,0.2310,0.4559,0.3133,0.4117,0.2136,0.5954,0.3105,0.4352,0.2419,0.3834,0.2634,0.3955,0.2795
000602,29.9770,0.0447,0.0199,0.0467,0.0170,708.7096,403.2347,1021.1673,375.7217,1048.7677,1033.8465,0.0014,0.0083,-376.2852,65.9584,157.7738,28.9310,21.4628,22.3984,24.6107,15.3359,14.8514,8.5282,0.3559,9.4430,-4.8573,10.1321,-16.2685,8.9213,-17.3793,7.4396,-13.8361,7.0849,-17.2428,9.0279,-8.5798,9.0921,-8.0893,10.8313,0.0871,0.1834,0.2179,0.1874,0.5635,0.4117,0.1479,0.1172,0.2282,0.2242,0.5189,0.4090,0.1358,0.1210,0.0804,0.1962,0.0981,0.1401,0.2810,0.3367,0.1700,0.2484,0.1322,0.2493
000615,30.0000,0.0603,0.0052,0.0259,0.0017,377.4750,149.0864,683.4480,315.1739,461.8537,226.3687,0.0001,0.0003,-424.9926,62.6377,192.9998,28.5779,76.6086,15.9817,37.5186,7.6574,11.4792,8.8864,-0.7498,5.4579,-0.7891,6.7877,-1.0673,5.0663,-2.3339,4.2110,-2.8769,3.4297,-8.1950,4.0429,-10.8847,6.2063,-11.5991,4.8181,0.0755,0.0580,0.0315,0.0097,0.1191,0.0916,0.1698,0.0661,0.0624,0.0097,0.0443,0.0354,0.4154,0.0507,0.9990,0.0138,0.2629,0.0538,0.0245,0.0250,0.0411,0.0692,0.1361,0.1845
000620,29.9770,0.1085,0.0414,0.0964,0.0437,1773.2280,631.9758,1872.7869,402.2954,3780.3579,1434.2695,0.0237,0.0388,-134.5278,74.3856,82.9450,32.8524,3.8422,18.3733,22.1510,9.4255,1.5423,7.7880,-4.3741,6.1789,-4.1069,6.8889,-7.3196,7.1301,-11.2374,6.2397,-10.2150,8.5419,-6.5869,9.0096,-6.6595,7.8111,-7.9430,8.0254,0.2158,0.2260,0.1078,0.0862,0.2121,0.2610,0.1065,0.0792,0.2695,0.2803,0.1725,0.1957,0.1676,0.1895,0.3114,0.3577,0.3270,0.1708,0.7850,0.3292,0.3067,0.1605,0.2797,0.3086
000621,29.9770,0.1594,0.0677,0.1216,0.0406,1646.3582,513.1574,1680.7935,273.9450,3179.3457,1030.2263,0.0146,0.0312,-93.3384,57.7680,84.0965,23.5796,-11.2613,17.9089,12.5666,16.3595,-3.5751,10.7542,-6.8272,10.9941,-11.2046,9.2979,-12.7508,9.4990,-13.6447,9.7274,-10.0713,9.6131,-15.6258,8.3524,-10.6444,8.5522,-11.7200,8.0724,0.2688,0.2616,0.1207,0.1377,0.2515,0.3123,0.2137,0.1817,0.4374,0.3508,0.2048,0.1886,0.4002,0.3656,0.3932,0.3256,0.2135,0.2402,0.2750,0.3281,0.2423,0.2471,0.4592,0.3320
000625,30.0000,0.1860,0.0817,0.1154,0.0676,1597.4914,666.7016,1576.5799,386.8263,3114.9054,1269.5085,0.0102,0.0239,-101.0324,80.8424,87.2126,38.5751,-17.5295,16.9585,16.3905,20.7895,-2.4420,9.6367,-4.7859,9.2815,-12.8088,11.5658,-11.6029,10.0592,-4.5741,9.7217,-6.2030,8.0671,-8.6403,8.1338,-9.8778,10.5136,-11.3343,10.3320,0.5759,0.3922,0.2004,0.1556,0.1926,0.3100,0.1102,0.1434,0.2928,0.2874,0.3525,0.3653,0.2626,0.2347,0.3706,0.3503,0.1404,0.1748,0.1995,0.3101,0.1297,0.1682,0.2222,0.1730
000666,30.0000,0.1499,0.0155,0.1035,0.0425,1643.8448,392.8665,1681.3273,222.7739,3565.7066,795.3253,0.0254,0.0244,-54.9097,28.4393,98.5678,21.6918,-7.5431,14.2001,27.3232,8.5404,-21.5650,8.1980,9.9098,5.9364,-11.8353,6.1385,3.3981,5.2537,-17.5052,6.1810,-5.6359,6.7833,-15.4886,4.9905,-4.1188,5.0376,-12.9084,4.1056,0.4068,0.2952,0.2253,0.1509,0.3630,0.2901,0.6021,0.3296,0.4240,0.2329,0.5742,0.3500,0.2934,0.2085,0.2371,0.2339,0.2611,0.2287,0.2282,0.1676,0.3742,0.3072,0.3129,0.2201
000667,29.9770,0.1292,0.0157,0.1507,0.0579,2076.4707,515.7737,1867.0061,261.2618,4286.2944,946.3628,0.0641,0.0449,-42.8346,37.4491,79.1055,29.8161,2.0983,15.0312,19.9771,10.9304,-27.5208,7.9110,12.6249,6.9779,-14.9149,5.1890,1.8607,4.5848,-14.9039,5.0586,1.3160,4.8614,-8.5002,4.5748,-3.4652,4.3418,-15.9707,4.1464,0.3750,0.2198,0.4140,0.2574,0.4343,0.2274,0.6710,0.2858,0.4633,0.2843,0.4932,0.2346,0.7294,0.2525,0.5781,0.2384,0.3283,0.2204,0.2346,0.1911,0.2787,0.1900,0.4743,0.2619
000676,29.9770,0.2271,0.0517,0.0845,0.0494,1772.1782,707.2773,2070.3057,405.1321,4020.1774,1662.1488,0.0203,0.0314,-71.9175,46.0299,84.6166,31.2419,29.1621,26.5111,19.9128,16.6928,11.6321,13.2471,4.4984,14.9452,16.2752,12.3253,2.5976,10.5238,-6.5685,9.8603,-3.6219,10.3320,-5.6401,8.1643,3.8328,8.7908,-0.7119,7.8690,0.3241,0.3111,0.2025,0.2379,0.2543,0.2784,0.2608,0.2797,0.2317,0.2430,0.2991,0.3170,0.2924,0.2610,0.3998,0.3362,0.4116,0.3378,0.4188,0.3009,0.4482,0.3616,0.3783,0.3100
000690,29.9770,0.2700,0.0539,0.1633,0.0528,2346.9797,246.4863,1865.0931,165.6362,4405.3745,407.6814,0.0597,0.0410,13.6174,29.5659,36.6249,13.1863,-21.6838,14.4959,57.2262,16.4701,13.0672,7.9083,24.7745,10.6809,5.0313,5.7670,14.5542,7.7154,0.3844,5.6843,0.3129,5.3642,4.6975,5.7090,-1.3009,5.1866,-2.9850,5.4368,0.3941,0.2215,0.4606,0.2459,0.4659,0.2698,0.3788,0.2145,0.4446,0.2423,0.5287,0.2556,0.6292,0.2880,0.6067,0.2774,0.5387,0.2898,0.4296,0.2307,0.4643,0.2596,0.5096,0.3083
000694,29.9770,0.1512,0.0436,0.1717,0.0977,2562.7800,758.8835,2298.8047,305.0726,5425.9021,1253.9469,0.0979,0.0944,-47.1891,49.1502,52.4776,28.3275,9.7492,26.7470,12.3945,19.5200,15.0288,13.3892,-2.0980,13.3102,3.1142,10.7055,0.2325,10.4841,-0.4604,9.2170,3.8937,8.5533,2.3790,7.7839,2.0846,7.2025,3.1766,6.7948,0.3893,0.2986,0.4235,0.3346,0.3580,0.2694,0.3343,0.2554,0.3580,0.2717,0.4292,0.3219,0.4818,0.3170,0.5076,0.3264,0.4431,0.3126,0.4336,0.3253,0.4007,0.2994,0.3786,0.2813
000695,29.9770,0.1942,0.0613,0.1754,0.0807,2386.2057,595.0320,2094.2060,269.0840,4796.3581,1045.1076,0.0896,0.0743,-15.1852,33.5318,54.1700,26.0402,-2.5198,22.5068,10.3969,15.1549,-0.6373,13.2610,16.2306,12.0611,7.6442,9.2606,5.1843,8.5134,5.9526,10.1283,5.7665,10.0767,9.2612,9.4834,6.2488,8.6435,2.9126,8.8627,0.4747,0.2968,0.4418,0.3059,0.4473,0.2910,0.5118,0.2878,0.6068,0.3258,0.5082,0.2943,0.4407,0.2921,0.3825,0.2635,0.3945,0.2735,0.3991,0.2681,0.3933,0.2560,0.4639,0.2640
